"ConceptScheme","prefLabel","Correspondence","coreContentNote","source_overview","source_direct"
"EGP_Ganzeboom","Goldthorpe‘s class categories (Ganzeboom‘s version)",,"This version of Goldthorpe‘s class categories (EGP) is derived from Ganzeboom‘s SPSS script iskoegp.sps.","http://www.harryganzeboom.nl/isco88/index.htm","http://www.harryganzeboom.nl/isco88/isco88.zip"
"ISCO-08_Ganzeboom",,"ISCO-88_Ganzeboom",,"http://www.harryganzeboom.nl/isco08/index.htm","http://www.harryganzeboom.nl/isco08/isco08.zip"
"ISCO-08_Ganzeboom",,"SIOPS",,"http://www.harryganzeboom.nl/isco08/index.htm","http://www.harryganzeboom.nl/isco08/isco08.zip"
"ISCO-08_Ganzeboom",,"ISEI",,"http://www.harryganzeboom.nl/isco08/index.htm","http://www.harryganzeboom.nl/isco08/isco08.zip"
"ISCO-08_Ganzeboom","International Standard Classification of Occupations, 2008. (Ganzeboom‘s version)",,"This version of ISCO-08 is derived from Harry Ganzeboom‘s SPSS script isqolab.sps. nec means “not elsewhere classified”.","http://www.harryganzeboom.nl/isco08/index.htm","http://www.harryganzeboom.nl/isco08/isco08.zip"
"ISCO-08_ILO","International Standard Classification of Occupations, 2008. Version of the ILO.",,"ISCO-08 was adopted through a resolution of a Tripartite Meeting of Experts on Labour Statistics held in December 2007. This resolution was subsequently endorsed by the Governing Body of the ILO in March 2008. Source of German Labels http://ec.europa.eu/eurostat/ramon/documents/SCL/isco08/SCL_isco08.zip","http://www.ilo.org/public/english/bureau/stat/isco/isco08/index.htm","http://www.ilo.org/public/english/bureau/stat/isco/docs/groupdefn08.docx"
"ISCO-08_Kantar",,"ISCO-08_Ganzeboom","Crosswalk only on lowest level, e.g. not for major, sub-major and minor groups.",,
"ISCO-08_Kantar",,"ISCO-08_ILO","Manually created crosswalk. Residual and special categories used by Kantar are ignored. Kantar delivers only lowest level, no major, sub-major and minor groups.",,
"ISCO-08_Kantar","International Standard Classification of Occupations, 2008. (Kantar‘s version)",,"This version of ISCO-08 is delivered by Kantar Public. It contains only unit groups, no major, sub-major and minor groups and some additional missing values.",,
"ISCO-68_Ganzeboom",,"ISEI","This Correspondence is derived from Ganzeboom‘s SPSS script iscoisei.sps.","http://www.harryganzeboom.nl/isco68/index.htm","http://www.harryganzeboom.nl/isco68/isco68.zip"
"ISCO-68_Ganzeboom","International Standard Classification of Occupations, ISCO-68 (Treimann‘s/Ganzeboom‘s version)",,,"http://www.harryganzeboom.nl/isco68/index.htm","http://www.harryganzeboom.nl/isco68/isco68.zip"
"ISCO-68_ILO",,"ISCO-68_Ganzeboom",,,
"ISCO-68_ILO","International Standard Classification of Occupations, ISCO-68. Version of the ILO.",,"Major, minor and unit groups.","http://www.ilo.org/public/libdoc/ilo/1969/69B09_35_engl.pdf","http://www.ilo.org/public/english/bureau/stat/isco/isco68/major.htm"
"ISCO-68_SOEPdepr",,"ISCO-68_ILO",,,
"ISCO-68_SOEPdepr","International Standard Classification of Occupations, ISCO-68 (deprecated SOEP version)",,"Do not use for new data.",,
"ISCO-88_COM",,"ISCO-88_ILO",,,
"ISCO-88_COM","International Standard Classification of Occupations, ISCO-88 (COM). Version of the European Union.",,"This version of ISCO-88 is used by the European Commission. Source for french and german labels: http://www2.warwick.ac.uk/fac/soc/ier/research/classification/isco88/ ",,
"ISCO-88_Ganzeboom",,"EGP_Ganzeboom","This Correspondence is derived from Ganzeboom‘s SPSS script iskoegp.sps. Two auxiliary variables can be specified: aux1 contains information on self-employment (where 0 means no or not known and 2 means yes; as in 'ISCO-88_Ganzeboom_EGP_Ganzeboom_aux1') and aux2 indicates the number of emplyees the person supervises (where 0 means none or not known, 1 means 1 up to 9 and 10 means 10 or more; as in 'ISCO-88_Ganzeboom_EGP_Ganzeboom_aux2').","http://www.harryganzeboom.nl/isco88/index.htm","http://www.harryganzeboom.nl/isco88/isco88.zip"
"ISCO-88_Ganzeboom",,"ISEI","This Correspondence is derived from Ganzeboom‘s SPSS script iskoisei.sps.","http://www.harryganzeboom.nl/isco88/index.htm","http://www.harryganzeboom.nl/isco88/isco88.zip"
"ISCO-88_Ganzeboom",,"SIOPS","This Correspondence is derived from Ganzeboom‘s SPSS script iskotrei.sps.","http://www.harryganzeboom.nl/isco88/index.htm","http://www.harryganzeboom.nl/isco88/isco88.zip"
"ISCO-88_Ganzeboom","International Standard Classification of Occupations, ISCO-88 (Ganzeboom‘s version)",,"This version of ISCO-88 is derived from Harry Ganzeboom‘s SPSS script iskolab.sps. Text between [ ] departs from ISCO manual. nec means “not elsewhere classified”, nfs “not further specified”","http://www.harryganzeboom.nl/isco88/index.htm","http://www.harryganzeboom.nl/isco88/isco88.zip"
"ISCO-88_Ganzeboom_EGP_Ganzeboom_aux1","Selfemployment Status",,"Classification for an auxillary variable for crosswalk from ISCO-88_Ganzeboom to EGP_Ganzeboom",,
"ISCO-88_Ganzeboom_EGP_Ganzeboom_aux2","Number of Employees",,"Classification for an auxillary variable for crosswalk from ISCO-88_Ganzeboom to EGP_Ganzeboom",,
"ISCO-88_Kantar","International Standard Classification of Occupations, ISCO-88 (Version of Kantar Public delivered to the SOEP)",,,,
"ISCO-88_Kantar",,"ISCO-88_Ganzeboom",,,
"ISCO-88_ILO",,"ISCO-88_Ganzeboom",,,
"ISCO-88_ILO","International Standard Classification of Occupations, ISCO-88. Version of the ILO.",,"This version of ISCO-88 is used by the International Labour Organization (ILO).","http://www.ilo.org/public/english/bureau/stat/isco/isco88/index.htm","http://www.ilo.org/public/english/bureau/stat/isco/isco88/major.htm"
"ISEI","International Socio-Economic Index of Occupational Status",,"Range from 10 to 90.",,
"KldB2010",,"ISCO-08_ILO","Crosswalk only on lowest level, e.g. not for major, sub-major and minor groups.","https://statistik.arbeitsagentur.de/Navigation/Statistik/Grundlagen/Klassifikation-der-Berufe/KldB2010/Arbeitshilfen/Umsteigeschluessel/Umsteigeschluessel-Nav.html","https://statistik.arbeitsagentur.de/Statischer-Content/Grundlagen/Klassifikation-der-Berufe/KldB2010/Arbeitshilfen/Umsteigeschluessel/Generische-Publikation/Umsteigeschluessel-KldB2010-ISCO-08.xls"
"KldB2010","Klassifikation der Berufe 2010",,"German Classification of Occupations 2010. Label styles: de_short, de_long, en_long (source: https://statistik.arbeitsagentur.de/Navigation/Statistik/Grundlagen/Klassifikation-der-Berufe/KldB2010/Arbeitshilfen/EnglischeKldB2010/KldBEnglischl-Nav.html)","https://statistik.arbeitsagentur.de/Navigation/Statistik/Grundlagen/Klassifikation-der-Berufe/Klassifikation-der-Berufe-Nav.html","https://statistik.arbeitsagentur.de/Statischer-Content/Grundlagen/Klassifikation-der-Berufe/KldB2010/Systematik-Verzeichnisse/Generische-Publikationen/Systematisches-Verzeichnis-Berufsbenennung.xls"
"KldB88",,"KldB2010",,"https://statistik.arbeitsagentur.de/Navigation/Statistik/Grundlagen/Klassifikation-der-Berufe/KldB2010/Arbeitshilfen/Umsteigeschluessel/Umsteigeschluessel-Nav.html","https://statistik.arbeitsagentur.de/Statischer-Content/Grundlagen/Klassifikation-der-Berufe/KldB2010/Arbeitshilfen/Umsteigeschluessel/Generische-Publikation/Umsteigeschluessel-KldB1988-4-Steller-KldB2010-5-Steller.xls"
"KldB88","Klassifikation der Berufe 1988",,"German Classification of Occupations 1988","https://statistik.arbeitsagentur.de/Navigation/Statistik/Grundlagen/Klassifikation-der-Berufe/KldB1975-1992/KldB1975-1992-Nav.html","https://statistik.arbeitsagentur.de/Statischer-Content/Grundlagen/Klassifikation-der-Berufe/KldB1975-1992/Generische-Publikationen/KldB1988-Die-Klassifikation.xls"
"SIOPS","Treimann‘s Standard International Occupational Prestige Scale (SIOPS)",,"Range from 6 to 78.",,
