"sourceConceptScheme ","sourceConcept ","targetConceptScheme ","targetConcept ","prob ","comment"
"ISCO-08_Infas","-8",,,,"infas-Label: Frage in diesem Jahr nicht Teil des Frageprogramms"
"ISCO-08_Infas","-7",,,,"infas-Label: nur in weniger eingeschränkter Edition verfügbar"
"ISCO-08_Infas","-6",,,,"infas-Label: Fragebogenversion mit geänderter Filterführung"
"ISCO-08_Infas","-5",,,,"infas-Label: in Fragebogenversion nicht enthalten"
"ISCO-08_Infas","-4",,,,"infas-Label: unzulässige Mehrfachantwort"
"ISCO-08_Infas","-3",,,,"infas-Label: unplausibler Wert"
"ISCO-08_Infas","-2",,,,"infas-Label: trifft nicht zu"
"ISCO-08_Infas","-1",,,,"infas-Label: keine Angabe/weiß nicht"
"ISCO-08_Infas","3",,,,"infas-Label: arbeitssuchend"
"ISCO-08_Infas","5",,,,"infas-Label: in der Ausbildung (schulische)"
"ISCO-08_Infas","6",,,,"infas-Label: Hausfrau"
"ISCO-08_Infas","7",,,,"infas-Label: Rentner"
"ISCO-08_Infas","8",,,,"infas-Label: weiß nicht"
"ISCO-08_Infas","9",,,,"infas-Label: keine Angabe"
"ISCO-08_Infas","110","ISCO-08_Ganzeboom ","110",1,
"ISCO-08_Infas","210","ISCO-08_Ganzeboom ","210",1,
"ISCO-08_Infas","310","ISCO-08_Ganzeboom ","310",1,
"ISCO-08_Infas","410","ISCO-08_Ganzeboom ","0",1,
"ISCO-08_Infas","1000","ISCO-08_Ganzeboom ","1000",1,
"ISCO-08_Infas","1100","ISCO-08_Ganzeboom ","1100",1,
"ISCO-08_Infas","1110","ISCO-08_Ganzeboom ","1110",1,
"ISCO-08_Infas","1111","ISCO-08_Ganzeboom ","1111",1,
"ISCO-08_Infas","1112","ISCO-08_Ganzeboom ","1112",1,
"ISCO-08_Infas","1113","ISCO-08_Ganzeboom ","1113",1,
"ISCO-08_Infas","1114","ISCO-08_Ganzeboom ","1114",1,
"ISCO-08_Infas","1120","ISCO-08_Ganzeboom ","1120",1,
"ISCO-08_Infas","1200","ISCO-08_Ganzeboom ","1200",1,
"ISCO-08_Infas","1210","ISCO-08_Ganzeboom ","1210",1,
"ISCO-08_Infas","1211","ISCO-08_Ganzeboom ","1211",1,
"ISCO-08_Infas","1212","ISCO-08_Ganzeboom ","1212",1,
"ISCO-08_Infas","1213","ISCO-08_Ganzeboom ","1213",1,
"ISCO-08_Infas","1219","ISCO-08_Ganzeboom ","1219",1,
"ISCO-08_Infas","1220","ISCO-08_Ganzeboom ","1220",1,
"ISCO-08_Infas","1221","ISCO-08_Ganzeboom ","1221",1,
"ISCO-08_Infas","1222","ISCO-08_Ganzeboom ","1222",1,
"ISCO-08_Infas","1223","ISCO-08_Ganzeboom ","1223",1,
"ISCO-08_Infas","1300","ISCO-08_Ganzeboom ","1300",1,
"ISCO-08_Infas","1310","ISCO-08_Ganzeboom ","1310",1,
"ISCO-08_Infas","1311","ISCO-08_Ganzeboom ","1311",1,
"ISCO-08_Infas","1312","ISCO-08_Ganzeboom ","1312",1,
"ISCO-08_Infas","1320","ISCO-08_Ganzeboom ","1320",1,
"ISCO-08_Infas","1321","ISCO-08_Ganzeboom ","1321",1,
"ISCO-08_Infas","1322","ISCO-08_Ganzeboom ","1322",1,
"ISCO-08_Infas","1323","ISCO-08_Ganzeboom ","1323",1,
"ISCO-08_Infas","1324","ISCO-08_Ganzeboom ","1324",1,
"ISCO-08_Infas","1330","ISCO-08_Ganzeboom ","1330",1,
"ISCO-08_Infas","1340","ISCO-08_Ganzeboom ","1340",1,
"ISCO-08_Infas","1341","ISCO-08_Ganzeboom ","1341",1,
"ISCO-08_Infas","1342","ISCO-08_Ganzeboom ","1342",1,
"ISCO-08_Infas","1343","ISCO-08_Ganzeboom ","1343",1,
"ISCO-08_Infas","1344","ISCO-08_Ganzeboom ","1344",1,
"ISCO-08_Infas","1345","ISCO-08_Ganzeboom ","1345",1,
"ISCO-08_Infas","1346","ISCO-08_Ganzeboom ","1346",1,
"ISCO-08_Infas","1349","ISCO-08_Ganzeboom ","1349",1,
"ISCO-08_Infas","1400","ISCO-08_Ganzeboom ","1400",1,
"ISCO-08_Infas","1410","ISCO-08_Ganzeboom ","1410",1,
"ISCO-08_Infas","1411","ISCO-08_Ganzeboom ","1411",1,
"ISCO-08_Infas","1412","ISCO-08_Ganzeboom ","1412",1,
"ISCO-08_Infas","1420","ISCO-08_Ganzeboom ","1420",1,
"ISCO-08_Infas","1430","ISCO-08_Ganzeboom ","1430",1,
"ISCO-08_Infas","1431","ISCO-08_Ganzeboom ","1431",1,
"ISCO-08_Infas","1439","ISCO-08_Ganzeboom ","1439",1,
"ISCO-08_Infas","2000","ISCO-08_Ganzeboom ","2000",1,
"ISCO-08_Infas","2100","ISCO-08_Ganzeboom ","2100",1,
"ISCO-08_Infas","2110","ISCO-08_Ganzeboom ","2110",1,
"ISCO-08_Infas","2111","ISCO-08_Ganzeboom ","2111",1,
"ISCO-08_Infas","2112","ISCO-08_Ganzeboom ","2112",1,
"ISCO-08_Infas","2113","ISCO-08_Ganzeboom ","2113",1,
"ISCO-08_Infas","2114","ISCO-08_Ganzeboom ","2114",1,
"ISCO-08_Infas","2120","ISCO-08_Ganzeboom ","2120",1,
"ISCO-08_Infas","2130","ISCO-08_Ganzeboom ","2130",1,
"ISCO-08_Infas","2131","ISCO-08_Ganzeboom ","2131",1,
"ISCO-08_Infas","2132","ISCO-08_Ganzeboom ","2132",1,
"ISCO-08_Infas","2133","ISCO-08_Ganzeboom ","2133",1,
"ISCO-08_Infas","2140","ISCO-08_Ganzeboom ","2140",1,
"ISCO-08_Infas","2141","ISCO-08_Ganzeboom ","2141",1,
"ISCO-08_Infas","2142","ISCO-08_Ganzeboom ","2142",1,
"ISCO-08_Infas","2143","ISCO-08_Ganzeboom ","2143",1,
"ISCO-08_Infas","2144","ISCO-08_Ganzeboom ","2144",1,
"ISCO-08_Infas","2145","ISCO-08_Ganzeboom ","2145",1,
"ISCO-08_Infas","2146","ISCO-08_Ganzeboom ","2146",1,
"ISCO-08_Infas","2149","ISCO-08_Ganzeboom ","2149",1,
"ISCO-08_Infas","2150","ISCO-08_Ganzeboom ","2150",1,
"ISCO-08_Infas","2151","ISCO-08_Ganzeboom ","2151",1,
"ISCO-08_Infas","2152","ISCO-08_Ganzeboom ","2152",1,
"ISCO-08_Infas","2153","ISCO-08_Ganzeboom ","2153",1,
"ISCO-08_Infas","2160","ISCO-08_Ganzeboom ","2160",1,
"ISCO-08_Infas","2161","ISCO-08_Ganzeboom ","2161",1,
"ISCO-08_Infas","2162","ISCO-08_Ganzeboom ","2162",1,
"ISCO-08_Infas","2163","ISCO-08_Ganzeboom ","2163",1,
"ISCO-08_Infas","2164","ISCO-08_Ganzeboom ","2164",1,
"ISCO-08_Infas","2165","ISCO-08_Ganzeboom ","2165",1,
"ISCO-08_Infas","2166","ISCO-08_Ganzeboom ","2166",1,
"ISCO-08_Infas","2200","ISCO-08_Ganzeboom ","2200",1,
"ISCO-08_Infas","2210","ISCO-08_Ganzeboom ","2210",1,
"ISCO-08_Infas","2211","ISCO-08_Ganzeboom ","2211",1,
"ISCO-08_Infas","2212","ISCO-08_Ganzeboom ","2212",1,
"ISCO-08_Infas","2220","ISCO-08_Ganzeboom ","2220",1,
"ISCO-08_Infas","2221","ISCO-08_Ganzeboom ","2221",1,
"ISCO-08_Infas","2222","ISCO-08_Ganzeboom ","2222",1,
"ISCO-08_Infas","2230","ISCO-08_Ganzeboom ","2230",1,
"ISCO-08_Infas","2240","ISCO-08_Ganzeboom ","2240",1,
"ISCO-08_Infas","2250","ISCO-08_Ganzeboom ","2250",1,
"ISCO-08_Infas","2260","ISCO-08_Ganzeboom ","2260",1,
"ISCO-08_Infas","2261","ISCO-08_Ganzeboom ","2261",1,
"ISCO-08_Infas","2262","ISCO-08_Ganzeboom ","2262",1,
"ISCO-08_Infas","2263","ISCO-08_Ganzeboom ","2263",1,
"ISCO-08_Infas","2264","ISCO-08_Ganzeboom ","2264",1,
"ISCO-08_Infas","2265","ISCO-08_Ganzeboom ","2265",1,
"ISCO-08_Infas","2266","ISCO-08_Ganzeboom ","2266",1,
"ISCO-08_Infas","2267","ISCO-08_Ganzeboom ","2267",1,
"ISCO-08_Infas","2269","ISCO-08_Ganzeboom ","2269",1,
"ISCO-08_Infas","2300","ISCO-08_Ganzeboom ","2300",1,
"ISCO-08_Infas","2310","ISCO-08_Ganzeboom ","2310",1,
"ISCO-08_Infas","2320","ISCO-08_Ganzeboom ","2320",1,
"ISCO-08_Infas","2330","ISCO-08_Ganzeboom ","2330",1,
"ISCO-08_Infas","2340","ISCO-08_Ganzeboom ","2340",1,
"ISCO-08_Infas","2341","ISCO-08_Ganzeboom ","2341",1,
"ISCO-08_Infas","2342","ISCO-08_Ganzeboom ","2342",1,
"ISCO-08_Infas","2350","ISCO-08_Ganzeboom ","2350",1,
"ISCO-08_Infas","2351","ISCO-08_Ganzeboom ","2351",1,
"ISCO-08_Infas","2352","ISCO-08_Ganzeboom ","2352",1,
"ISCO-08_Infas","2353","ISCO-08_Ganzeboom ","2353",1,
"ISCO-08_Infas","2354","ISCO-08_Ganzeboom ","2354",1,
"ISCO-08_Infas","2355","ISCO-08_Ganzeboom ","2355",1,
"ISCO-08_Infas","2356","ISCO-08_Ganzeboom ","2356",1,
"ISCO-08_Infas","2359","ISCO-08_Ganzeboom ","2359",1,
"ISCO-08_Infas","2400","ISCO-08_Ganzeboom ","2400",1,
"ISCO-08_Infas","2410","ISCO-08_Ganzeboom ","2410",1,
"ISCO-08_Infas","2411","ISCO-08_Ganzeboom ","2411",1,
"ISCO-08_Infas","2412","ISCO-08_Ganzeboom ","2412",1,
"ISCO-08_Infas","2413","ISCO-08_Ganzeboom ","2413",1,
"ISCO-08_Infas","2420","ISCO-08_Ganzeboom ","2420",1,
"ISCO-08_Infas","2421","ISCO-08_Ganzeboom ","2421",1,
"ISCO-08_Infas","2422","ISCO-08_Ganzeboom ","2422",1,
"ISCO-08_Infas","2423","ISCO-08_Ganzeboom ","2423",1,
"ISCO-08_Infas","2424","ISCO-08_Ganzeboom ","2424",1,
"ISCO-08_Infas","2430","ISCO-08_Ganzeboom ","2430",1,
"ISCO-08_Infas","2431","ISCO-08_Ganzeboom ","2431",1,
"ISCO-08_Infas","2432","ISCO-08_Ganzeboom ","2432",1,
"ISCO-08_Infas","2433","ISCO-08_Ganzeboom ","2433",1,
"ISCO-08_Infas","2434","ISCO-08_Ganzeboom ","2434",1,
"ISCO-08_Infas","2500","ISCO-08_Ganzeboom ","2500",1,
"ISCO-08_Infas","2510","ISCO-08_Ganzeboom ","2510",1,
"ISCO-08_Infas","2511","ISCO-08_Ganzeboom ","2511",1,
"ISCO-08_Infas","2512","ISCO-08_Ganzeboom ","2512",1,
"ISCO-08_Infas","2513","ISCO-08_Ganzeboom ","2513",1,
"ISCO-08_Infas","2514","ISCO-08_Ganzeboom ","2514",1,
"ISCO-08_Infas","2519","ISCO-08_Ganzeboom ","2519",1,
"ISCO-08_Infas","2520","ISCO-08_Ganzeboom ","2520",1,
"ISCO-08_Infas","2521","ISCO-08_Ganzeboom ","2521",1,
"ISCO-08_Infas","2522","ISCO-08_Ganzeboom ","2522",1,
"ISCO-08_Infas","2523","ISCO-08_Ganzeboom ","2523",1,
"ISCO-08_Infas","2529","ISCO-08_Ganzeboom ","2529",1,
"ISCO-08_Infas","2600","ISCO-08_Ganzeboom ","2600",1,
"ISCO-08_Infas","2610","ISCO-08_Ganzeboom ","2610",1,
"ISCO-08_Infas","2611","ISCO-08_Ganzeboom ","2611",1,
"ISCO-08_Infas","2612","ISCO-08_Ganzeboom ","2612",1,
"ISCO-08_Infas","2619","ISCO-08_Ganzeboom ","2619",1,
"ISCO-08_Infas","2620","ISCO-08_Ganzeboom ","2620",1,
"ISCO-08_Infas","2621","ISCO-08_Ganzeboom ","2621",1,
"ISCO-08_Infas","2622","ISCO-08_Ganzeboom ","2622",1,
"ISCO-08_Infas","2630","ISCO-08_Ganzeboom ","2630",1,
"ISCO-08_Infas","2631","ISCO-08_Ganzeboom ","2631",1,
"ISCO-08_Infas","2632","ISCO-08_Ganzeboom ","2632",1,
"ISCO-08_Infas","2633","ISCO-08_Ganzeboom ","2633",1,
"ISCO-08_Infas","2634","ISCO-08_Ganzeboom ","2634",1,
"ISCO-08_Infas","2635","ISCO-08_Ganzeboom ","2635",1,
"ISCO-08_Infas","2636","ISCO-08_Ganzeboom ","2636",1,
"ISCO-08_Infas","2640","ISCO-08_Ganzeboom ","2640",1,
"ISCO-08_Infas","2641","ISCO-08_Ganzeboom ","2641",1,
"ISCO-08_Infas","2642","ISCO-08_Ganzeboom ","2642",1,
"ISCO-08_Infas","2643","ISCO-08_Ganzeboom ","2643",1,
"ISCO-08_Infas","2650","ISCO-08_Ganzeboom ","2650",1,
"ISCO-08_Infas","2651","ISCO-08_Ganzeboom ","2651",1,
"ISCO-08_Infas","2652","ISCO-08_Ganzeboom ","2652",1,
"ISCO-08_Infas","2653","ISCO-08_Ganzeboom ","2653",1,
"ISCO-08_Infas","2654","ISCO-08_Ganzeboom ","2654",1,
"ISCO-08_Infas","2655","ISCO-08_Ganzeboom ","2655",1,
"ISCO-08_Infas","2656","ISCO-08_Ganzeboom ","2656",1,
"ISCO-08_Infas","2659","ISCO-08_Ganzeboom ","2659",1,
"ISCO-08_Infas","3000","ISCO-08_Ganzeboom ","3000",1,
"ISCO-08_Infas","3100","ISCO-08_Ganzeboom ","3100",1,
"ISCO-08_Infas","3110","ISCO-08_Ganzeboom ","3110",1,
"ISCO-08_Infas","3111","ISCO-08_Ganzeboom ","3111",1,
"ISCO-08_Infas","3112","ISCO-08_Ganzeboom ","3112",1,
"ISCO-08_Infas","3113","ISCO-08_Ganzeboom ","3113",1,
"ISCO-08_Infas","3114","ISCO-08_Ganzeboom ","3114",1,
"ISCO-08_Infas","3115","ISCO-08_Ganzeboom ","3115",1,
"ISCO-08_Infas","3116","ISCO-08_Ganzeboom ","3116",1,
"ISCO-08_Infas","3117","ISCO-08_Ganzeboom ","3117",1,
"ISCO-08_Infas","3118","ISCO-08_Ganzeboom ","3118",1,
"ISCO-08_Infas","3119","ISCO-08_Ganzeboom ","3119",1,
"ISCO-08_Infas","3120","ISCO-08_Ganzeboom ","3120",1,
"ISCO-08_Infas","3121","ISCO-08_Ganzeboom ","3121",1,
"ISCO-08_Infas","3122","ISCO-08_Ganzeboom ","3122",1,
"ISCO-08_Infas","3123","ISCO-08_Ganzeboom ","3123",1,
"ISCO-08_Infas","3130","ISCO-08_Ganzeboom ","3130",1,
"ISCO-08_Infas","3131","ISCO-08_Ganzeboom ","3131",1,
"ISCO-08_Infas","3132","ISCO-08_Ganzeboom ","3132",1,
"ISCO-08_Infas","3133","ISCO-08_Ganzeboom ","3133",1,
"ISCO-08_Infas","3134","ISCO-08_Ganzeboom ","3134",1,
"ISCO-08_Infas","3135","ISCO-08_Ganzeboom ","3135",1,
"ISCO-08_Infas","3139","ISCO-08_Ganzeboom ","3139",1,
"ISCO-08_Infas","3140","ISCO-08_Ganzeboom ","3140",1,
"ISCO-08_Infas","3141","ISCO-08_Ganzeboom ","3141",1,
"ISCO-08_Infas","3142","ISCO-08_Ganzeboom ","3142",1,
"ISCO-08_Infas","3143","ISCO-08_Ganzeboom ","3143",1,
"ISCO-08_Infas","3150","ISCO-08_Ganzeboom ","3150",1,
"ISCO-08_Infas","3151","ISCO-08_Ganzeboom ","3151",1,
"ISCO-08_Infas","3152","ISCO-08_Ganzeboom ","3152",1,
"ISCO-08_Infas","3153","ISCO-08_Ganzeboom ","3153",1,
"ISCO-08_Infas","3154","ISCO-08_Ganzeboom ","3154",1,
"ISCO-08_Infas","3155","ISCO-08_Ganzeboom ","3155",1,
"ISCO-08_Infas","3200","ISCO-08_Ganzeboom ","3200",1,
"ISCO-08_Infas","3210","ISCO-08_Ganzeboom ","3210",1,
"ISCO-08_Infas","3211","ISCO-08_Ganzeboom ","3211",1,
"ISCO-08_Infas","3212","ISCO-08_Ganzeboom ","3212",1,
"ISCO-08_Infas","3213","ISCO-08_Ganzeboom ","3213",1,
"ISCO-08_Infas","3214","ISCO-08_Ganzeboom ","3214",1,
"ISCO-08_Infas","3220","ISCO-08_Ganzeboom ","3220",1,
"ISCO-08_Infas","3221","ISCO-08_Ganzeboom ","3221",1,
"ISCO-08_Infas","3222","ISCO-08_Ganzeboom ","3222",1,
"ISCO-08_Infas","3230","ISCO-08_Ganzeboom ","3230",1,
"ISCO-08_Infas","3240","ISCO-08_Ganzeboom ","3240",1,
"ISCO-08_Infas","3250","ISCO-08_Ganzeboom ","3250",1,
"ISCO-08_Infas","3251","ISCO-08_Ganzeboom ","3251",1,
"ISCO-08_Infas","3252","ISCO-08_Ganzeboom ","3252",1,
"ISCO-08_Infas","3253","ISCO-08_Ganzeboom ","3253",1,
"ISCO-08_Infas","3254","ISCO-08_Ganzeboom ","3254",1,
"ISCO-08_Infas","3255","ISCO-08_Ganzeboom ","3255",1,
"ISCO-08_Infas","3256","ISCO-08_Ganzeboom ","3256",1,
"ISCO-08_Infas","3257","ISCO-08_Ganzeboom ","3257",1,
"ISCO-08_Infas","3258","ISCO-08_Ganzeboom ","3258",1,
"ISCO-08_Infas","3259","ISCO-08_Ganzeboom ","3259",1,
"ISCO-08_Infas","3300","ISCO-08_Ganzeboom ","3300",1,
"ISCO-08_Infas","3310","ISCO-08_Ganzeboom ","3310",1,
"ISCO-08_Infas","3311","ISCO-08_Ganzeboom ","3311",1,
"ISCO-08_Infas","3312","ISCO-08_Ganzeboom ","3312",1,
"ISCO-08_Infas","3313","ISCO-08_Ganzeboom ","3313",1,
"ISCO-08_Infas","3314","ISCO-08_Ganzeboom ","3314",1,
"ISCO-08_Infas","3315","ISCO-08_Ganzeboom ","3315",1,
"ISCO-08_Infas","3319",,,,"infas-Label: nicht akademische Fachkräfte im Bereich Finanzen (Gesis-Sondercode)"
"ISCO-08_Infas","3320","ISCO-08_Ganzeboom ","3320",1,
"ISCO-08_Infas","3321","ISCO-08_Ganzeboom ","3321",1,
"ISCO-08_Infas","3322","ISCO-08_Ganzeboom ","3322",1,
"ISCO-08_Infas","3323","ISCO-08_Ganzeboom ","3323",1,
"ISCO-08_Infas","3324","ISCO-08_Ganzeboom ","3324",1,
"ISCO-08_Infas","3330","ISCO-08_Ganzeboom ","3330",1,
"ISCO-08_Infas","3331","ISCO-08_Ganzeboom ","3331",1,
"ISCO-08_Infas","3332","ISCO-08_Ganzeboom ","3332",1,
"ISCO-08_Infas","3333","ISCO-08_Ganzeboom ","3333",1,
"ISCO-08_Infas","3334","ISCO-08_Ganzeboom ","3334",1,
"ISCO-08_Infas","3339","ISCO-08_Ganzeboom ","3339",1,
"ISCO-08_Infas","3340","ISCO-08_Ganzeboom ","3340",1,
"ISCO-08_Infas","3341","ISCO-08_Ganzeboom ","3341",1,
"ISCO-08_Infas","3342","ISCO-08_Ganzeboom ","3342",1,
"ISCO-08_Infas","3343","ISCO-08_Ganzeboom ","3343",1,
"ISCO-08_Infas","3344","ISCO-08_Ganzeboom ","3344",1,
"ISCO-08_Infas","3350","ISCO-08_Ganzeboom ","3350",1,
"ISCO-08_Infas","3351","ISCO-08_Ganzeboom ","3351",1,
"ISCO-08_Infas","3352","ISCO-08_Ganzeboom ","3352",1,
"ISCO-08_Infas","3353","ISCO-08_Ganzeboom ","3353",1,
"ISCO-08_Infas","3354","ISCO-08_Ganzeboom ","3354",1,
"ISCO-08_Infas","3355","ISCO-08_Ganzeboom ","3355",1,
"ISCO-08_Infas","3359","ISCO-08_Ganzeboom ","3359",1,
"ISCO-08_Infas","3400","ISCO-08_Ganzeboom ","3400",1,
"ISCO-08_Infas","3410","ISCO-08_Ganzeboom ","3410",1,
"ISCO-08_Infas","3411","ISCO-08_Ganzeboom ","3411",1,
"ISCO-08_Infas","3412","ISCO-08_Ganzeboom ","3412",1,
"ISCO-08_Infas","3413","ISCO-08_Ganzeboom ","3413",1,
"ISCO-08_Infas","3420","ISCO-08_Ganzeboom ","3420",1,
"ISCO-08_Infas","3421","ISCO-08_Ganzeboom ","3421",1,
"ISCO-08_Infas","3422","ISCO-08_Ganzeboom ","3422",1,
"ISCO-08_Infas","3423","ISCO-08_Ganzeboom ","3423",1,
"ISCO-08_Infas","3430","ISCO-08_Ganzeboom ","3430",1,
"ISCO-08_Infas","3431","ISCO-08_Ganzeboom ","3431",1,
"ISCO-08_Infas","3432","ISCO-08_Ganzeboom ","3432",1,
"ISCO-08_Infas","3433","ISCO-08_Ganzeboom ","3433",1,
"ISCO-08_Infas","3434","ISCO-08_Ganzeboom ","3434",1,
"ISCO-08_Infas","3435","ISCO-08_Ganzeboom ","3435",1,
"ISCO-08_Infas","3500","ISCO-08_Ganzeboom ","3500",1,
"ISCO-08_Infas","3510","ISCO-08_Ganzeboom ","3510",1,
"ISCO-08_Infas","3511","ISCO-08_Ganzeboom ","3511",1,
"ISCO-08_Infas","3512","ISCO-08_Ganzeboom ","3512",1,
"ISCO-08_Infas","3513","ISCO-08_Ganzeboom ","3513",1,
"ISCO-08_Infas","3514","ISCO-08_Ganzeboom ","3514",1,
"ISCO-08_Infas","3520","ISCO-08_Ganzeboom ","3520",1,
"ISCO-08_Infas","3521","ISCO-08_Ganzeboom ","3521",1,
"ISCO-08_Infas","3522","ISCO-08_Ganzeboom ","3522",1,
"ISCO-08_Infas","4000","ISCO-08_Ganzeboom ","4000",1,
"ISCO-08_Infas","4100","ISCO-08_Ganzeboom ","4100",1,
"ISCO-08_Infas","4110","ISCO-08_Ganzeboom ","4110",1,
"ISCO-08_Infas","4120","ISCO-08_Ganzeboom ","4120",1,
"ISCO-08_Infas","4130","ISCO-08_Ganzeboom ","4130",1,
"ISCO-08_Infas","4131","ISCO-08_Ganzeboom ","4131",1,
"ISCO-08_Infas","4132","ISCO-08_Ganzeboom ","4132",1,
"ISCO-08_Infas","4200","ISCO-08_Ganzeboom ","4200",1,
"ISCO-08_Infas","4210","ISCO-08_Ganzeboom ","4210",1,
