ConceptScheme,labelStyle,Concept,prefLabel,sortorder,prefValue
"MPS88","default","20","",1,20.0
"MPS88","default","23.9","",2,23.9
"MPS88","default","24.7","",3,24.7
"MPS88","default","26.7","",4,26.7
"MPS88","default","26.9","",5,26.9
"MPS88","default","28.6","",6,28.6
"MPS88","default","29.3","",7,29.3
"MPS88","default","30","",8,30.0
"MPS88","default","30.3","",9,30.3
"MPS88","default","31.2","",10,31.2
"MPS88","default","31.6","",11,31.6
"MPS88","default","31.8","",12,31.8
"MPS88","default","31.9","",13,31.9
"MPS88","default","32.4","",14,32.4
"MPS88","default","33.9","",15,33.9
"MPS88","default","34.7","",16,34.7
"MPS88","default","35.6","",17,35.6
"MPS88","default","36.1","",18,36.1
"MPS88","default","36.6","",19,36.6
"MPS88","default","36.8","",20,36.8
"MPS88","default","37.6","",21,37.6
"MPS88","default","38.1","",22,38.1
"MPS88","default","38.3","",23,38.3
"MPS88","default","38.4","",24,38.4
"MPS88","default","39.2","",25,39.2
"MPS88","default","39.5","",26,39.5
"MPS88","default","39.9","",27,39.9
"MPS88","default","40","",28,40.0
"MPS88","default","40.1","",29,40.1
"MPS88","default","40.3","",30,40.3
"MPS88","default","40.5","",31,40.5
"MPS88","default","40.6","",32,40.6
"MPS88","default","40.7","",33,40.7
"MPS88","default","41.2","",34,41.2
"MPS88","default","41.4","",35,41.4
"MPS88","default","41.5","",36,41.5
"MPS88","default","41.9","",37,41.9
"MPS88","default","42.1","",38,42.1
"MPS88","default","42.7","",39,42.7
"MPS88","default","42.9","",40,42.9
"MPS88","default","43.3","",41,43.3
"MPS88","default","43.7","",42,43.7
"MPS88","default","44","",43,44.0
"MPS88","default","44.2","",44,44.2
"MPS88","default","44.5","",45,44.5
"MPS88","default","44.7","",46,44.7
"MPS88","default","44.8","",47,44.8
"MPS88","default","45.1","",48,45.1
"MPS88","default","45.3","",49,45.3
"MPS88","default","45.4","",50,45.4
"MPS88","default","45.6","",51,45.6
"MPS88","default","45.8","",52,45.8
"MPS88","default","45.9","",53,45.9
"MPS88","default","46","",54,46.0
"MPS88","default","46.3","",55,46.3
"MPS88","default","46.7","",56,46.7
"MPS88","default","46.8","",57,46.8
"MPS88","default","47.1","",58,47.1
"MPS88","default","47.2","",59,47.2
"MPS88","default","47.4","",60,47.4
"MPS88","default","47.9","",61,47.9
"MPS88","default","48.3","",62,48.3
"MPS88","default","48.5","",63,48.5
"MPS88","default","48.7","",64,48.7
"MPS88","default","49","",65,49.0
"MPS88","default","49.6","",66,49.6
"MPS88","default","49.8","",67,49.8
"MPS88","default","49.9","",68,49.9
"MPS88","default","50.9","",69,50.9
"MPS88","default","51","",70,51.0
"MPS88","default","51.1","",71,51.1
"MPS88","default","51.5","",72,51.5
"MPS88","default","51.6","",73,51.6
"MPS88","default","52.1","",74,52.1
"MPS88","default","52.4","",75,52.4
"MPS88","default","52.5","",76,52.5
"MPS88","default","52.6","",77,52.6
"MPS88","default","52.9","",78,52.9
"MPS88","default","53.1","",79,53.1
"MPS88","default","53.4","",80,53.4
"MPS88","default","53.8","",81,53.8
"MPS88","default","55","",82,55.0
"MPS88","default","55.4","",83,55.4
"MPS88","default","55.7","",84,55.7
"MPS88","default","56","",85,56.0
"MPS88","default","56.1","",86,56.1
"MPS88","default","56.8","",87,56.8
"MPS88","default","56.9","",88,56.9
"MPS88","default","57","",89,57.0
"MPS88","default","57.3","",90,57.3
"MPS88","default","58.2","",91,58.2
"MPS88","default","58.8","",92,58.8
"MPS88","default","60","",93,60.0
"MPS88","default","60.2","",94,60.2
"MPS88","default","60.5","",95,60.5
"MPS88","default","60.7","",96,60.7
"MPS88","default","62.3","",97,62.3
"MPS88","default","62.5","",98,62.5
"MPS88","default","63","",99,63.0
"MPS88","default","63.1","",100,63.1
"MPS88","default","64.2","",101,64.2
"MPS88","default","65.4","",102,65.4
"MPS88","default","66","",103,66.0
"MPS88","default","67.1","",104,67.1
"MPS88","default","67.4","",105,67.4
"MPS88","default","67.6","",106,67.6
"MPS88","default","67.8","",107,67.8
"MPS88","default","68.3","",108,68.3
"MPS88","default","69.3","",109,69.3
"MPS88","default","69.9","",110,69.9
"MPS88","default","70.1","",111,70.1
"MPS88","default","70.2","",112,70.2
"MPS88","default","70.9","",113,70.9
"MPS88","default","71.7","",114,71.7
"MPS88","default","73.1","",115,73.1
"MPS88","default","73.2","",116,73.2
"MPS88","default","75.7","",117,75.7
"MPS88","default","76.6","",118,76.6
"MPS88","default","76.9","",119,76.9
"MPS88","default","77","",120,77.0
"MPS88","default","77.3","",121,77.3
"MPS88","default","77.9","",122,77.9
"MPS88","default","78.3","",123,78.3
"MPS88","default","78.6","",124,78.6
"MPS88","default","78.8","",125,78.8
"MPS88","default","79.1","",126,79.1
"MPS88","default","79.7","",127,79.7
"MPS88","default","80","",128,80.0
"MPS88","default","80.1","",129,80.1
"MPS88","default","81.3","",130,81.3
"MPS88","default","81.6","",131,81.6
"MPS88","default","82.9","",132,82.9
"MPS88","default","83.2","",133,83.2
"MPS88","default","83.9","",134,83.9
"MPS88","default","85.3","",135,85.3
"MPS88","default","86.1","",136,86.1
"MPS88","default","87.3","",137,87.3
"MPS88","default","87.6","",138,87.6
"MPS88","default","87.8","",139,87.8
"MPS88","default","88.2","",140,88.2
"MPS88","default","88.6","",141,88.6
"MPS88","default","88.9","",142,88.9
"MPS88","default","89.8","",143,89.8
"MPS88","default","90.2","",144,90.2
"MPS88","default","90.5","",145,90.5
"MPS88","default","91.5","",146,91.5
"MPS88","default","91.9","",147,91.9
"MPS88","default","92.1","",148,92.1
"MPS88","default","93.6","",149,93.6
"MPS88","default","93.9","",150,93.9
"MPS88","default","95.4","",151,95.4
"MPS88","default","96.5","",152,96.5
"MPS88","default","100.3","",153,100.3
"MPS88","default","101.1","",154,101.1
"MPS88","default","101.4","",155,101.4
"MPS88","default","104.4","",156,104.4
"MPS88","default","105.6","",157,105.6
"MPS88","default","106","",158,106.0
"MPS88","default","107.4","",159,107.4
"MPS88","default","108.7","",160,108.7
"MPS88","default","110.7","",161,110.7
"MPS88","default","112.3","",162,112.3
"MPS88","default","113","",163,113.0
"MPS88","default","113.8","",164,113.8
"MPS88","default","115.8","",165,115.8
"MPS88","default","117.2","",166,117.2
"MPS88","default","119.2","",167,119.2
"MPS88","default","119.9","",168,119.9
"MPS88","default","120.2","",169,120.2
"MPS88","default","121.3","",170,121.3
"MPS88","default","124.1","",171,124.1
"MPS88","default","125.4","",172,125.4
"MPS88","default","126.2","",173,126.2
"MPS88","default","126.7","",174,126.7
"MPS88","default","127.8","",175,127.8
"MPS88","default","128","",176,128.0
"MPS88","default","129.1","",177,129.1
"MPS88","default","129.2","",178,129.2
"MPS88","default","129.5","",179,129.5
"MPS88","default","129.6","",180,129.6
"MPS88","default","130.3","",181,130.3
"MPS88","default","130.4","",182,130.4
"MPS88","default","131.1","",183,131.1
"MPS88","default","131.5","",184,131.5
"MPS88","default","131.6","",185,131.6
"MPS88","default","132","",186,132.0
"MPS88","default","133.4","",187,133.4
"MPS88","default","133.7","",188,133.7
"MPS88","default","134.6","",189,134.6
"MPS88","default","134.8","",190,134.8
"MPS88","default","135.1","",191,135.1
"MPS88","default","135.8","",192,135.8
"MPS88","default","138.6","",193,138.6
"MPS88","default","140.9","",194,140.9
"MPS88","default","141.9","",195,141.9
"MPS88","default","142.2","",196,142.2
"MPS88","default","142.5","",197,142.5
"MPS88","default","143.2","",198,143.2
"MPS88","default","144.5","",199,144.5
"MPS88","default","145.2","",200,145.2
"MPS88","default","147.1","",201,147.1
"MPS88","default","149.2","",202,149.2
"MPS88","default","149.6","",203,149.6
"MPS88","default","150.8","",204,150.8
"MPS88","default","153.5","",205,153.5
"MPS88","default","153.8","",206,153.8
"MPS88","default","159.8","",207,159.8
"MPS88","default","160.3","",208,160.3
"MPS88","default","160.5","",209,160.5
"MPS88","default","170.9","",210,170.9
"MPS88","default","173.3","",211,173.3
"MPS88","default","179.6","",212,179.6
"MPS88","default","186.8","",213,186.8
